npsn,nama_sekolah,alamat,kelurahan,kecamatan,jumlah_siswa,jumlah_guru,kepala_sekolah,telp_sekolah,akreditasi,tipe_sekolah,koordinat
20104814,SDS Santo Bellarminus,Jl. Lombok No. 58,Gondangdia,Menteng,208,21.0,"SR. Magdalinda, CIJ",021 3101991,A,SD,"-6.196952, 106.833252"
20100459,SDN Paseban 03 Pg.,Jl. Kramat Sawah VI,Paseban,S e n e n,282,18.0,"Lombardini, S.Pd",021 3108118,C,SD,"-6.195088, 106.851486"
20100539,SDN Kenari 07 Pg.,Jl. Salemba Raya No. 18,Kenari,S e n e n,525,27.0,"Imanita Tresno Wulan, S.Pd, MM",021 3142022,A,SD,"-6.193979, 106.849358"
20104768,SDS Kwitang I PSKD,Jl. Tmn. Kb. Sirih III No. 46A,Kampung Bali,Tanah Abang,31,10.0,Sri Kristianna Ginting SPd,021 3143249,B,SD,"-6.18833, 106.813995"
20104812,SDS Santa Theresia,Jl. Haji Agus Salim No. 75,Gondangdia,Menteng,573,41.0,"Sr. Herlina Nogo Manuk, OSU",021 3145794,A,SD,"-6.189999, 106.825417"
20104642,SDNP Menteng 03 Pg.,Jl. Cilacap No. 5,Menteng,Menteng,350,18.0,AKHMAD SOLIKHIN,021 3147961,A,SD,"-6.19821, 106.837646"
20104801,SDS Perg. Advent Salemba,Jl. Salemba Raya No. 47,Paseban,S e n e n,1,6.0,"Jenny Lumban Gaol,MA",021 3150116,B,SD,"-6.197015, 106.851387"
20104715,SDS Al Badar,Jl. Menteng Sukabumi IV/ 75,Menteng,Menteng,370,17.0,"Abdul Rozaq, S.Sos.I",021 3152183,B,SD,"-6.204301, 106.840996"
20104571,SDN Kampung Bali 01 Pg.,Jl. Jatibaru Raya No. 10,Kampung Bali,Tanah Abang,267,16.0,"Dra. Eti Herawati, M.Pd",021 3155345,B,SD,"-6.181741, 106.814957"
20104769,SDS Kwitang II PSKD,Jl. Kramat IV/29,Kenari,S e n e n,104,12.0,Damasti Siagian,021 3155811,A,SD,"-6.186557, 106.841591"
20104530,SDN Gondangdia 03 Pg.,Jl. Probolinggo No. 20,Gondangdia,Menteng,240,14.0,"RAHMAT,S.Pd",021 3157588,A,SD,"-6.195226, 106.838341"
20104743,SDS Hati Suci,Jl. Hati Suci No. 7,Kampung Bali,Tanah Abang,129,9.0,Ignatius Indriyanto,021 3157924,A,SD,"-6.183498, 106.817421"
20104808,SDS Said Na'um,Jl. K. H. Mas Mansur No. 25,Kebon Kacang,Tanah Abang,102,19.0,"AGUNG GUSTAMAN,S.Pd.,M.M.",021 3161082,B,SD,"-6.191198, 106.816795"
20104608,SDN Kebon Melati 02 Pg.,Jl. Sabeni No. 12,Kebon Melati,Tanah Abang,405,19.0,"Rita Hutahaean, M.Pd",021 3162257,A,SD,"-6.192998, 106.814034"
20104590,SDN Kebon Kelapa 02 Pg.,Jl. Batu Tulis Raya XIII/20,Kebon Kelapa,Gambir,334,19.0,Leo Agung Adeyanto,021 3513348,A,SD,"-6.165196, 106.821884"
20104504,SDN Cideng 10 Pg.,Jl. Cilamaya No. 1,Cideng,Gambir,244,14.0,"YATI ROHDIYATI, S.Pd, M.Si",021 3513926,A,SD,"-6.177349, 106.810074"
20104506,SDN Cideng 13 Pg.,Jl. Cilamaya No. 1,Cideng,Gambir,172,8.0,"ARTIA YULIANA.S, S.Pd",021 3514834,A,SD,"-6.177208, 106.809898"
20104659,SDN Petojo Selatan 01 Pg.,Jl. Tanah Abang V/ 29,Petojo Selatan,Gambir,298,16.0,"ZUBAIDAH, S.Pd",021 3517588,A,SD,"-6.171477, 106.81955"
20104498,SDN Cideng 02 Pg.,Jl. Lematang No. 2,Cideng,Gambir,258,12.0,BAHIJAH,021 3520748,A,SD,"-6.172362, 106.809555"
20104811,SDS Santa Maria,Jl. Ir. H. Juanda No. 29,Kebon Kelapa,Gambir,661,31.0,"Bernadet Marita Tanaga, S.Pd.",021 3523069,A,SD,"-6.163162, 106.824318"
20104797,SDS PSKD IV,Jl. Prapatan No. 26,Senen,S e n e n,47,8.0,"Ratna Batubara,S.Pd",021 3851452,B,SD,"-6.18043, 106.838074"
20104739,SDS Darussalam,Jl. Batanghari42,Cideng,Gambir,195,13.0,"H.M. Amin Mindar, S.Pd",021 3861766,B,SD,"-6.174193, 106.809624"
20100496,SDN Paseban 18 Pg.,Jl. H. Murthado VIII No A'717,Paseban,S e n e n,398,16.0,Dra. SRI NOORYATI,021 3906270,B,SD,"-6.192473, 106.84964"
20104610,SDN Kebon Sirih 01 Pg.,Jl. Kebon Sirih No. 29,Kebon Sirih,Menteng,181,9.0,"Lusy Mulkan, S.Pd",021 3907280,B,SD,"-6.182791, 106.830284"
20104653,SDN Pegangsaan 01 Pg.,Jl. Ampiun No. 1 A,Pegangsaan,Menteng,409,21.0,"Irawan, S.Pd. M.M.",021 3908327,A,SD,"-6.19791, 106.842247"
20100384,SDS Trisula Perwari I,Jl. Salemba Tengah No. 9,Paseban,S e n e n,133,14.0,Kusnara S.Pd,021 3908692,A,SD,"-6.193705, 106.85054"
20104815,SDS Santo Fransiskus I,Jl. Kramat Raya No. 67,Kramat,S e n e n,221,12.0,"Heribertus Sigit Rito Wibowo,SPd",021 3909254,A,SD,"-6.187926, 106.846092"
20104609,SDN Kebon Melati 03 Pg.,Jl. Sabeni No. 12,Kebon Melati,Tanah Abang,268,15.0,TETI DINAR MULIYAWATI,021 3909924,A,SD,"-6.193019, 106.81398"
20100460,SDN Paseban 05 Pg.,Jl. Kramat Sawah Baru,Paseban,S e n e n,355,18.0,"Lukiana Napitupulu, S.Pd",021 3911786,A,SD,"-6.191216, 106.854164"
20100537,SDN Kenari 05 Pg.,Kramat IV No. 25,Kenari,S e n e n,199,10.0,H. Muhammad Idris,021 3914637,B,SD,"-6.185495, 106.842995"
20104817,SDS Santo Ignatius,"Jl. Latuharhari, SH. No. 14",Menteng,Menteng,106,10.0,"GABRIELLA GOWA KEYTIMU , JMJ",021 3915488,A,SD,"-6.205328, 106.83876"
20104820,SDS SINT. YOSEPH,Jl. Kramat Raya No. 134,Kenari,S e n e n,127,14.0,SR.M.FLORENTINE M. OP,021 3916190,A,SD,"-6.186815, 106.844498"
20104629,SDN Kenari 01 Pg.,Jl. Kramat IV No. 25,Kenari,S e n e n,195,11.0,Vinansius Subarja,021 3923449,A,SD,"-6.185996, 106.842201"
20104798,SDS PSKD Mandiri,Jl. GSSY Ratulangi No. 5,Gondangdia,Menteng,111,5.0,Diah S. Rajasa,021 3924384,A,SD,"-6.188715, 106.831932"
20104827,SDS Taman Siswa,Jl. Matraman Dalam II/ NO.13,Pegangsaan,Menteng,66,8.0,BEDJO RIYANTO,021 3925450,A,SD,"-6.203495, 106.854218"
20104573,SDN Kampung Bali 03 Pg.,Jl. Hati Suci No. 7,Kampung Bali,Tanah Abang,214,10.0,"Chairuddin Oesman, S.Pd",021 3927013,B,SD,"-6.183443, 106.817116"
20104793,SDS Nirwana,Jl. Jati Bundar VII nO. 181,Kebon Melati,Tanah Abang,233,6.0,Husain. Saepudin,021 3928259,B,SD,"-6.191354, 106.811737"
20104649,SDN Paseban 07 Pg.,Jl. Salemba Tengah No.278 C,Paseban,S e n e n,210,11.0,"TASIM SUTISMAN, MM",021 3928318,A,SD,"-6.193627, 106.854805"
20104635,SDN Kramat 09 Pt.,Jl. Kramat Sentiong No. 3,Kramat,S e n e n,199,8.0,ENDA SYUHANDA,021 3929043,B,SD,"-6.187701, 106.847267"
20100535,SDN Kenari 03 Pg.,Jl. Kramat IV No. 25,Kenari,S e n e n,190,10.0,Nurul Hidayati,021 3929247,A,SD,"-6.185452, 106.843018"
20104805,SDS Ratih,Jl. Murdai No. 1,Cempaka Putih Barat,Cempaka Putih,97,9.0,Dra. Hj. SOFIANITA,021 4204588,A,SD,"-6.185702, 106.863167"
20104837,SDS Strada Van Lith I,Jl. Gn. Sahari No. 88,Gunung Sahari Selatan,Kemayoran,303,17.0,FLORENTINA ANDRI HENDARWATMANTI,021 4205122,A,SD,"-6.171203, 106.840446"
20109461,SDS Islam Rawasari,Jl. Rawasari Barat. VII No. E108,Cempaka Putih Timur,Cempaka Putih,70,9.0,SOFYAN.MM,021 4207001,C,SD,"-6.183469, 106.870338"
20104799,SDS Paskalis I,Jl. Baladewa F16,Tanah Tinggi,Johar Baru,156,10.0,"Sr. Maria Yudith, AK",021 4207862,A,SD,"-6.177348, 106.848236"
20104790,SDS Bethani I (Nasional Anglo),Jl. Rawasari Selatan No. 10X,Rawasari,Cempaka Putih,161,12.0,"Lindawati Herdiana,S.Pd",021 4208702,A,SD,"-6.186791, 106.873207"
20104701,SDN Tanah Tinggi 05 Pg.,Jl. Tanah Tinggi II/ 8,Tanah Tinggi,Johar Baru,217,9.0,"SUTARYA, S.Pd.",021 4208737,A,SD,"-6.175686, 106.849586"
20104492,SDN Cempaka Baru 14 Pg.,Jl. Remaja II,Cempaka Baru,Kemayoran,219,13.0,NINA SUTISNA,021 4209573,B,SD,"-6.164981, 106.863541"
20104546,SDN Johar Baru 10 Pg.,Jl. Mardani Raya No.12 A,Johar Baru,Johar Baru,535,21.0,"Drs. SUWARJO, M. Pd",021 4209736,B,SD,"-6.181745, 106.859924"
20104775,SDS Melania III,Jl. Percetakan Negara No. 31,Cempaka Putih Barat,Cempaka Putih,98,8.0,Drs Agustinus Slameto MM,021 4210585,B,SD,"-6.186481, 106.869537"
20104785,SDS Muhammadiyah 50,Jl. Galindra Kemayoran Gempol,Kebon Kosong,Kemayoran,145,12.0,"Uwarsih, S.Pd",021 4211522,B,SD,"-6.155595, 106.854774"
20104810,SDS Sandika,"Jl. Kepu Dalam I, No. 293",Kemayoran,Kemayoran,172,8.0,ALOYSIUS DADUR,021 4212457,A,SD,"-6.163385, 106.844482"
20104540,SDN Johar Baru 01 Pg.,Jl. Percetakan Negara IV C NO. 08,Johar Baru,Johar Baru,213,12.0,"SUPARTINI, S.Pd",021 4213841,A,SD,"-6.187059, 106.861702"
20100187,SDS Kristen III Penabur,Jl. Gunung Sahari 90A,Gunung Sahari Selatan,Kemayoran,379,23.0,"Susanty Magdalena, S.Pd.",021 4214824,A,SD,"-6.152051, 106.835075"
20104543,SDN Johar Baru 05 Pg.,Jl. Kramat Jaya Baru Blok H4,Johar Baru,Johar Baru,217,10.0,Ibtizah Amin,021 4222202,B,SD,"-6.183493, 106.855591"
20104706,SDN Tanah Tinggi 11 Pg.,Jl. Tanah Tinggi I Gg. II,Tanah Tinggi,Johar Baru,259,11.0,Drs. Abdul Azis Nasrun,021 4222681,B,SD,"-6.176045, 106.846802"
20104576,SDN Kampung Rawa 02 Pt.,Jl. Rawa Selatan III,Kampung Rawa,Johar Baru,211,11.0,Aemi Lisonda Gultom,021 4223229,B,SD,"-6.179876, 106.858803"
20104604,SDN Kebon Kosong 17 Pg.,Jl. Ketapang Baru III,Kebon Kosong,Kemayoran,303,12.0,"Sukirah, S.Pd",021 4223252,B,SD,"-6.163358, 106.850746"
20104826,SDS Taman Siswa,Jl. Garuda 25,Gunung Sahari Selatan,Kemayoran,181,11.0,Juariah,021 4224337,A,SD,"-6.1605, 106.849503"
20100374,SDN Cempaka Putih Barat 01 Pg,Jl. Cempaka Putih Barat II/G,Cempaka Putih Barat,Cempaka Putih,545,20.0,SANUSIN,021 4227073,A,SD,"-6.17602, 106.861092"
20104794,SDS Nurani,Jl. Utan Panjang III/50,Utan Panjang,Kemayoran,48,9.0,Husni,021 4227860,B,SD,"-6.1624, 106.855003"
20104482,SDN Cempaka Baru 01,Jl. Cempaka Baru VII/ 45,Cempaka Baru,Kemayoran,583,30.0,"Hj.Lily Salyanti, S.Pd.M.A.",021 4227914,A,SD,"-6.1669, 106.863098"
20104536,SDN Harapan Mulia 01 Pg.,Jl. Cempaka Wangi I,Harapan Mulia,Kemayoran,410,18.0,"Suyatmi, S.Pd, M.M",021 4228074,A,SD,"-6.167215, 106.855659"
20104600,SDN Kebon Kosong 13 Pg.,Jl. Ketapang Baru II,Kebon Kosong,Kemayoran,280,13.0,"RUSMANI MANIK,S.Pd,MM",021 4228422,A,SD,"-6.163041, 106.850418"
20104679,SDN Serdang 05 Pg.,Jl. Eka Lima RT 09/03 Serdang,Serdang,Kemayoran,394,19.0,"Sri Sunarti, S.Pd, MM",021 4228526,A,SD,"-6.1612, 106.860497"
20104606,SDN Kebon Kosong 19 Pg.,Jl. Ketapang Baru III,Kebon Kosong,Kemayoran,321,16.0,"RUGUN SIMORANGKIR, S.Th",021 4228592,A,SD,"-6.163358, 106.850746"
20104603,SDN Kebon Kosong 16 Pg.,Jl. Dakota II,Kebon Kosong,Kemayoran,288,14.0,"NUROMAS RITONGA, S.Pd",021 4229208,B,SD,"-6.154758, 106.858543"
20104786,SDS Muhammadiyah I,Jl. Garuda No 33,Gunung Sahari Selatan,Kemayoran,259,16.0,Edriati,021 4242381,A,SD,"-6.162064, 106.843567"
20109429,SDS Kanaan,JL. KRAN RAYA NO. 7 JAKARTA PUSAT,Gunung Sahari Selatan,Kemayoran,240,20.0,MEINY MARINGKA,021 4243769,A,SD,"-6.15806, 106.84623"
20100530,SDN Cempaka Putih Timur 03 Pg.,Jl. Rawasari Barat I,Cempaka Putih Timur,Cempaka Putih,391,17.0,"Moch. Salmon M, S.Pd.",021 4247397,B,SD,"-6.182975, 106.870033"
20104792,SDS Nazareth Kudus,Jl. Kalibaru Timur VI No. 7,Bungur,S e n e n,138,12.0,Daniel Tjandra Putra .SE,021 4248204,B,SD,"-6.168734, 106.850006"
20104542,SDN Johar Baru 04 Pt.,Jl. Kramat Jaya Baru,Johar Baru,Johar Baru,116,9.0,Dwi Pudjianti,021 4250733,B,SD,"-6.183727, 106.854607"
20104624,SDN Kemayoran 13 Pg.,Jl. Kemayoran Tengah,Kemayoran,Kemayoran,142,11.0,Dra.TRI SIWI MURDIATI,021 4257850,B,SD,"-6.162657, 106.847511"
20104484,SDN Cempaka Baru 03 Pg.,Jl. Harapan Jaya No. 37,Cempaka Baru,Kemayoran,398,18.0,"Sri Haryani, Spd",021 4258619,B,SD,"-6.169199, 106.865143"
20104533,SDN Gunung Sahari Selatan 01 Pg.,Jl. Gunung Sahari IV No. 14,Gunung Sahari Selatan,Kemayoran,434,26.0,"Drs. Puad Hasim, MM",021 4258641,A,SD,"-6.1661, 106.839203"
20104557,SDN Johar Baru 23 Pg.,Jl. Kramat Jaya Baru Blok H,Johar Baru,Johar Baru,178,11.0,"DASPI, S.Pd",021 4259082,B,SD,"-6.182862, 106.854492"
20104703,SDN Tanah Tinggi 07 Pg.,Jl. Tanah Tinggi II/ 8,Tanah Tinggi,Johar Baru,149,10.0,"Karmini,M.Pd",021 4259449,A,SD,"-6.175902, 106.847214"
20104622,SDN Kemayoran 11 Pg.,Jl. Kemayoran Tengah,Kemayoran,Kemayoran,261,14.0,RUSMIANI,021 4259612,B,SD,"-6.160661, 106.853996"
20104626,SDN Kemayoran 15,Jl. Kepu Dalam Gg. X,Kemayoran,Kemayoran,475,21.0,"Hj. Yohana, S.Pd MM",021 4261438,B,SD,"-6.16519, 106.842972"
20104834,SDS Umum,Jl. Kramat Jaya Baru Blok I/1,Johar Baru,Johar Baru,147,12.0,SRI MAHARANI,021 4261663,B,SD,"-6.183853, 106.855598"
20104754,SDS Kencana,Jl. Waja III No. 1,Harapan Mulia,Kemayoran,319,16.0,Drs.Alex Karwan,021 4264851,A,SD,"-6.172669, 106.853752"
20104722,SDS Al-Marhamah,Jl. Angkasa Dalam II/52,Gunung Sahari Selatan,Kemayoran,87,9.0,Maulana Yusuf S.Pd.I,021 4265786,B,SD,"-6.156246, 106.841217"
20104734,SDS Cahaya Islam,Jl. Percetakan Negara I No. L 25,Johar Baru,Johar Baru,152,13.0,SITI HAROYAH,021 4265877,B,SD,"-6.19009, 106.854362"
20100528,SDN Cempaka Putih Timur 01 Pg.,Jl. Rawasari Tim. IV/ 2,Cempaka Putih Timur,Cempaka Putih,424,23.0,MAWARNI,021 4266276,A,SD,"-6.182415, 106.871986"
20104700,SDN Tanah Tinggi 04 Pt.,Jl. Tanah Tinggi II/ 8,Tanah Tinggi,Johar Baru,192,9.0,Elfida Suryani S.Pd,021 4266768,B,SD,"-6.17619, 106.846779"
20104558,SDN Johar Baru 25 Pg.,Jl. Kramat Jaya Baru Blok H,Johar Baru,Johar Baru,148,11.0,"JUARSIH,S.Pd",021 4266960,B,SD,"-6.183801, 106.854645"
20104751,SDS Kartini,"Jl. Kalibaru Timur V, No. 1",Utan Panjang,Kemayoran,152,15.0,Ichwan Effendi S.E,021 4267404,A,SD,"-6.16991, 106.846382"
20104721,SDS Al-Ittihadiyah,Jl. Tanah Tinggi IV Gg. V,Tanah Tinggi,Johar Baru,175,10.0,"Rustami, M.Pd.I",021 4267913,B,SD,"-6.179298, 106.847237"
20104807,SDS Rumpun Cempaka,Jl. Cemp. Put. Tengah Raya No. 11,Cempaka Putih Timur,Cempaka Putih,0,5.0,Sri Farita Dijani Maya S.Pd,021 4268038,B,SD,"-6.172094, 106.8694"
20104552,SDN Johar Baru 17 Pg.,Jl. Kramat Jaya Gg. 8,Johar Baru,Johar Baru,317,18.0,"SUTINAH,S.Pd",021 4268673,A,SD,"-6.181875, 106.852036"
20104699,SDN Tanah Tinggi 03 Pg.,Jl. Tanah Tinggi II/ 8,Tanah Tinggi,Johar Baru,206,13.0,"Popon E. Sumartini, S.Pd",021 4269232,A,SD,"-6.175931, 106.846901"
20104966,SDN Warakas 02 Pt.,Jl. Warakas VII Gg.8 No.104,Warakas,Tanjung Priok,327,19.0,"KASMITI, S.Pd",021 4301014,A,SD,"-6.125327, 106.879333"
20100647,SDN Rawa Badak Selatan 03 Pg.,Jl. Kemudi No. 1 K. Perumpel,Rawa Badak Selatan,K o j a,440,19.0,"Hj. NURYOYOH, S.Pd",021 4303349,A,SD,"-6.124829, 106.902977"
20105046,SDS Kedang Uyelewung,Jl. Muara Bahari Bak Air II/29,Tanjung Priok,Tanjung Priok,148,9.0,"Jalaluddin, S.Pd.I",021 4304635,B,SD,"-6.116342, 106.872925"
20105065,SDS Muhamadiyah 17,JL. KAMPUNG BAHARI GANG ll NO. 68,Tanjung Priok,Tanjung Priok,172,9.0,"Hj. Indyawati, S. Pd.I",021 4305749,A,SD,"-6.119345, 106.87133"
20104958,SDN Tugu Utara 07 Pg.,Jl. Turi No. 3,Tugu Utara,K o j a,296,13.0,"NARINI, S.Pd.",021 4307748,A,SD,"-6.127527, 106.9104"
20105134,SDS Yapis,Jl. Deli Gg. 28 No. 12,Koja,K o j a,51,12.0,Aina Bazari,021 4308022,B,SD,"-6.110237, 106.899506"
20105002,SDS Bethel,Jl. Swasembada Timur XI/ 36,Kebon Bawang,Tanjung Priok,229,8.0,M.aringanTampubolon,021 4308393,A,SD,"-6.122714, 106.891975"
20105115,SDS Taman Pusaka,Jl. Gembira II No. 55,Sungai Bambu,Tanjung Priok,281,11.0,"Drs. Tedjowidharto, M.Pd.",021 4309418,A,SD,"-6.119859, 106.881432"
20105108,SDS Strada Santo Ignatius,Jl. Bhayangkara No. 38,Tugu Utara,K o j a,437,15.0,"Emelius Maryanto, S.Pd",021 4350509,A,SD,"-6.122231, 106.915733"
20105003,SDS Bina Pusaka,Jl. Yos Sudarso Lorong 100 timur No.70,Koja,K o j a,285,12.0,Ignatius Meak,021 4351886,B,SD,"-6.120031, 106.893066"
20104974,SDS Advent Anggrek,Jl. Anggrek No. 17,Rawa Badak Utara,K o j a,97,13.0,Josi Rina Dahlia H,021 4352157,B,SD,"-6.115201, 106.89415"
20105070,SDS Nurul Falah,Jl. Sungai Bambu I No. 28,Sungai Bambu,Tanjung Priok,112,9.0,"NURAINI, S.Pd",021 4352685,B,SD,"-6.110174, 106.884239"
20104965,SDN Warakas 01 Pg.,Jl. Warakas Gg. VII No.104,Warakas,Tanjung Priok,449,17.0,"A. Sudarto, S.Pd",021 4353465,A,SD,"-6.125327, 106.879333"
20104989,SDS As-Syafiq,Jl. Warakas ll No. 10,Warakas,Tanjung Priok,0,8.0,"TUMI, S.Sos",021 4354308,B,SD,"-6.1193, 106.875603"
20104948,SDN Tanjung Priok 03 Pt.,Jl. RE. Martadinata Samudra IX,Tanjung Priok,Tanjung Priok,315,12.0,HOTMAULI NAINGGOLAN,021 4354661,B,SD,"-6.118569, 106.869492"
20100619,SDN Tugu Utara 15 Pg.,Jl. H. M. Darpi Plump. Semper,Tugu Utara,K o j a,362,17.0,"Hj. Richanah, M.Pd",021 4356053,A,SD,"-6.119338, 106.900673"
20105135,SDS Yappenda,Jl. Swasembada Timur VI No. 15,Kebon Bawang,Tanjung Priok,224,12.0,"Susanto,S.sos.I.",021 4356206,B,SD,"-6.12013, 106.888176"
20105061,SDS Mekar Tanjung,Jl. Warakas VIII No. 46,Warakas,Tanjung Priok,313,14.0,"Al Qoriati, S.Pd",021 4357288,B,SD,"-6.122152, 106.877129"
20105114,SDS Taman Harapan,Jl. Warakas V Gg. 2 No. 141,Warakas,Tanjung Priok,723,17.0,H.Nurhasan,021 4357611,A,SD,"-6.125241, 106.882233"
20100691,SDN Rawa Badak Selatan 11 Pg.,Jl. Bendungan Melayu,Rawa Badak Selatan,K o j a,703,31.0,"RAFAAH, S.Pd. MM",021 4357702,A,SD,"-6.132777, 106.903755"
20105023,SDS Diniyah Islamiyah,Jl. Warakas I Gg. V No. 2,Warakas,Tanjung Priok,159,6.0,"Kurniawan, S.Pd",021 4357706,B,SD,"-6.125535, 106.871025"
20104968,SDN Warakas 04 Pt.,Jl. Warakas I Gg. 20 No. 1,Warakas,Tanjung Priok,336,15.0,"SITA LUMBANRAJA, S.Pd",021 4357748,A,SD,"-6.123325, 106.872749"
20100669,SDN Rawa Badak Selatan 07 Pg.,Jl. Mundari,Rawa Badak Selatan,K o j a,549,25.0,"Hj. Siti Rohaiti, S.Pd",021 4359702,A,SD,"-6.118066, 106.899567"
20104855,SDN Kebon Bawang 04 Pt.,Jl. Kebon Bawang XIII,Kebon Bawang,Tanjung Priok,291,13.0,"Suparti,S.Pd",021 4368870,A,SD,"-6.114825, 106.886208"
20104859,SDN Kebon Bawang 08 Pt.,Jl. Kebon Bawang XIII No. 15,Kebon Bawang,Tanjung Priok,276,13.0,Dra. Siti Rahmah,021 4368872,A,SD,"-6.115435, 106.886147"
20104852,SDN Kebon Bawang 01 Pg.,Jl. Kebon Bawang XIII,Kebon Bawang,Tanjung Priok,590,27.0,"Hj. Sapiah, M.Pd",021 4369356,A,SD,"-6.114814, 106.88623"
20105091,SDS Remaja,Jl. Budi Jaya I,Sungai Bambu,Tanjung Priok,253,8.0,"AZRICHAN, S.Si",021 4370559,B,SD,"-6.126199, 106.884117"
20100693,SDN Rawa Badak Utara 01 Pg.,Jl. Sunter II No. 35,Rawa Badak Utara,K o j a,711,29.0,Hj. JARMAH.M.Pd,021 4371055,A,SD,"-6.121322, 106.896614"
20100648,SDN Rawa Badak Selatan 05,Jl. Alur Laut Gg. Patimura No. 45,Rawa Badak Selatan,K o j a,484,29.0,DELSIANNA TINAMBUNAN,021 4372643,A,SD,"-6.127528, 106.90052"
20105112,SDS Suraya,Jl. Yos Sudarso Lorong 100,Koja,K o j a,310,15.0,Drs. H.Sukardi.MM,021 4373213,B,SD,"-6.11264, 106.893417"
20105131,SDS Wening,Jl. Mesjid Rt.007/03 No. 47,Rawa Badak Selatan,K o j a,347,16.0,Eviyanti,021 4373531,B,SD,"-6.127562, 106.901672"
20101059,SDN Lagoa 07,Jl. Pramuka Gg. IV No. 15,Lagoa,K o j a,577,24.0,"Ismiasih, M.Pd",021 4374756,A,SD,"-6.11124, 106.909416"
20100584,SDN Semper Barat 11 Pg.,Jl. Kapuas Raya,Semper Barat,Cilincing,375,17.0,"H.MOH.HASANUDDIN,S.Pd,M.Si",021 4400289,B,SD,"-6.125818, 106.924515"
20100684,SDN Semper Barat 03 Pg.,Jl. Kapuas Raya,Semper Barat,Cilincing,351,16.0,"H. MANSUR, S.Pd",021 4401514,A,SD,"-6.123384, 106.923775"
20105036,SDS Jawamiul Ulum,Jl. Dukuh Timur No. 59,Semper Barat,Cilincing,27,4.0,"H. Hermanto, S.Pd.I",021 4401550,Tidak Terakreditasi,SD,"-6.33393, 106.893715"
20104975,SDS Advent IX Tg. Priok,Jl. Kramat Jaya Blok C No.15,Semper Barat,Cilincing,89,7.0,Endang Sularsi Suryaningsih,021 4403807,B,SD,"-6.114653, 106.917358"
20100997,SDN Kali Baru 03 Pg.,Jl. Kali Baru Timur III F No. 2,Kalibaru,Cilincing,499,19.0,"Esti Wahyuni, M.Pd (PLT)",021 4403992,B,SD,"-6.10135, 106.931877"
20100682,SDN Semper Barat 01 Pg.,Jl. Raya Tugu Semper No. 1,Semper Barat,Cilincing,333,18.0,"Suwarjono, M.Pd",021 4406363,A,SD,"-6.12174, 106.924957"
20105105,SDS Strada TKM I,Jl. Khatulistiwa No. 06,Semper Timur,Cilincing,180,8.0,Lucianus Misdiyono,021 4407092,A,SD,"-6.105161, 106.932899"
20105045,SDS Kebon Baru I,Jl. Blok X Gg. IV/ 25,Semper Barat,Cilincing,150,6.0,"Supardi, S.PdI",021 4407177,A,SD,"-6.13414, 106.922646"
20100686,SDN Semper Barat 05 Pg.,Jl. F Kebon Baru No.27,Semper Barat,Cilincing,545,23.0,Raja Pasaribu,021 4408431,A,SD,"-6.115539, 106.923256"
20105075,SDS Nurul Huda,Jl. Bakti IX No. 27,Semper Timur,Cilincing,269,8.0,"H. Satino, S.Pd.I",021 4408648,B,SD,"-6.10858, 106.935356"
20104963,SDN Tugu Utara 17 Pg.,Jl. Kramat Jaya Gg.VIII Blok R,Tugu Utara,K o j a,308,11.0,DATI SUMIYATI M.Pd,021 4409518,A,SD,"-6.126367, 106.915497"
20105031,SDS Gaya Remaja,"JL. CILINCING RAYA EKS.KOMP GAYA MOTOR, No.01",Semper Timur,Cilincing,113,9.0,"UMMU SYAMSIYAH, S.Ag",021 4410646,B,SD,"-6.106119, 106.930908"
20100593,SDN Sukapura 01 Pg.,Jl. Beo No.15 Komp.Walikota,Sukapura,Cilincing,357,19.0,"Dra. Nunuk Tati T, M.Pd",021 4411729,A,SD,"-6.143807, 106.956451"
20104917,SDN Sukapura 05 Pg.,Jl. Tipar Cakung,Sukapura,Cilincing,287,17.0,"FAJAR SWAKURNIAWATI, S.Pd",021 4412647,A,SD,"-6.152618, 106.926842"
20105083,SDS Pantai Indah,Jl. Kalibaru Timur,Kalibaru,Cilincing,445,15.0,"Arifin,S.Pd",021 4412759,B,SD,"-6.100489, 106.933708"
20100585,SDN Semper Barat 12 Pt.,Jl. Kapuas Raya Rt. 006/ 01,Semper Barat,Cilincing,304,16.0,"MUHDLORI, S.Pd",021 4412766,A,SD,"-6.125818, 106.924515"
20104916,SDN Sukapura 02,Jl. Tipar Cakung gg. Kompi Jenggot No.28,Sukapura,Cilincing,542,27.0,"NINIK IYAH JASIAH, S.Pd",021 4413512,A,SD,"-6.143807, 106.956451"
20101003,SDN Kali Baru 07 Pg.,Jl. Kalibaru Barat IV No. 60,Kalibaru,Cilincing,390,14.0,"Esti Wahyuni,S.Pd, SD",021 4414153,A,SD,"-6.105555, 106.92083"
20101093,SDS Mahaprajna,Jl. Cilincing Lama No.3,Cilincing,Cilincing,28,15.0,Drs. FRANS HENDRIK GARANG,021 4414543,A,SD,"-6.100038, 106.937233"
20100624,SDN Tugu Utara 21 Pg.,Jl. Kr. Jaya Gg.VIII Blok R,Tugu Utara,K o j a,353,14.0,"SUPRIHATI, M.Pd",021 4415833,A,SD,"-6.126367, 106.915497"
20104911,SDN Semper Barat 15 Pg.,Jl. Citandui Raya,Semper Barat,Cilincing,343,16.0,"SAHLAN, M.Pd",021 4415946,A,SD,"-6.11658, 106.92321"
